"","Value","Study"
"1",1.46644099910036,"ABCD"
"2",1.56766472078102,"ABCD"
"3",1.44218984892198,"ABCD"
"4",1.11015545070095,"ABCD"
"5",1.48596654737841,"ABCD"
"6",1.62355645773138,"ABCD"
"7",1.57908012302547,"ABCD"
"8",1.49059238844315,"ABCD"
"9",1.13126198425816,"ABCD"
"10",1.36171624954507,"ABCD"
"11",1.35555860076595,"ABCD"
"12",1.53879418822716,"ABCD"
"13",1.18450538569074,"ABCD"
"14",1.00743984808263,"ABCD"
"15",1.31925216919172,"ABCD"
"16",1.39052914157245,"ABCD"
"17",1.33024123523169,"ABCD"
"18",1.79614757647285,"ABCD"
"19",1.17812666142756,"ABCD"
"20",1.32308368273363,"ABCD"
"21",1.42200962115263,"ABCD"
"22",1.34460510683503,"ABCD"
"23",1.35492092683424,"ABCD"
"24",1.22012419173881,"ABCD"
"25",1.44482003384558,"ABCD"
"26",0.862176544126516,"ABCD"
"27",1.61800649810263,"ABCD"
"28",1.23336938896715,"ABCD"
"29",1.17473647529201,"ABCD"
"30",1.36292651710186,"ABCD"
"31",1.59459402965891,"ABCD"
"32",1.28116296130599,"ABCD"
"33",1.40326895525571,"ABCD"
"34",1.17904324602703,"ABCD"
"35",1.4957364601313,"ABCD"
"36",1.12985692361922,"ABCD"
"37",1.23974140964077,"ABCD"
"38",1.44860903864074,"ABCD"
"39",1.63412280099203,"ABCD"
"40",1.64601714396121,"ABCD"
"41",1.08978592491898,"ABCD"
"42",1.55184098682847,"ABCD"
"43",1.34590947207277,"ABCD"
"44",1.34815708209385,"ABCD"
"45",1.26633475373024,"ABCD"
"46",1.34282468083025,"ABCD"
"47",1.55141697648493,"ABCD"
"48",1.39147721483663,"ABCD"
"49",1.09681079041845,"ABCD"
"50",1.27168667897732,"ABCD"
"51",1.24947993269475,"ABCD"
"52",1.70662710844537,"ABCD"
"53",1.49485747145694,"ABCD"
"54",1.09198242985038,"ABCD"
"55",1.14591735486663,"ABCD"
"56",0.922872468117101,"ABCD"
"57",1.48565116264926,"ABCD"
"58",1.3452765866079,"ABCD"
"59",1.14792851809811,"ABCD"
"60",1.32272911694926,"ABCD"
"61",1.26276649975628,"ABCD"
"62",1.23012563366985,"ABCD"
"63",1.56937450104803,"ABCD"
"64",1.37283926552167,"ABCD"
"65",1.23788791637504,"ABCD"
"66",1.16241807293552,"ABCD"
"67",1.48705076014299,"ABCD"
"68",1.37721279427124,"ABCD"
"69",1.4644339263389,"ABCD"
"70",1.30021375903398,"ABCD"
"71",1.70818407498432,"ABCD"
"72",0.931798225998191,"ABCD"
"73",1.32445280394275,"ABCD"
"74",1.41608485444702,"ABCD"
"75",1.22305019930897,"ABCD"
"76",1.14794351897439,"ABCD"
"77",1.62137202952827,"ABCD"
"78",1.62241332440091,"ABCD"
"79",0.899077828024704,"ABCD"
"80",1.46392344070974,"ABCD"
"81",1.04958890057346,"ABCD"
"82",1.33916386112796,"ABCD"
"83",1.50324955358266,"ABCD"
"84",1.17697866130323,"ABCD"
"85",1.1008624816334,"ABCD"
"86",1.64083771058363,"ABCD"
"87",1.40755699058652,"ABCD"
"88",0.939516888039608,"ABCD"
"89",0.744531130668988,"ABCD"
"90",1.46554064999768,"ABCD"
"91",0.84126343150692,"ABCD"
"92",1.43469586622951,"ABCD"
"93",1.53772729674614,"ABCD"
"94",1.13306855340114,"ABCD"
"95",1.2021382694634,"ABCD"
"96",1.57516863147206,"ABCD"
"97",1.07316174480768,"ABCD"
"98",1.32964246451457,"ABCD"
"99",1.6027314477438,"ABCD"
"100",1.0443892853521,"ABCD"
"101",1.49711327799564,"ABCD"
"102",1.40515217027436,"ABCD"
"103",1.23092501948506,"ABCD"
"104",1.59565199673446,"ABCD"
"105",1.80951340736157,"ABCD"
"106",1.57418099181561,"ABCD"
"107",1.08447895913465,"ABCD"
"108",1.37755855089816,"ABCD"
"109",1.07012321474361,"ABCD"
"110",1.45645450353591,"ABCD"
"111",1.26870621256481,"ABCD"
"112",1.21277342900252,"ABCD"
"113",1.2762773620239,"ABCD"
"114",1.43970031234108,"ABCD"
"115",1.33115951807602,"ABCD"
"116",1.29782648221046,"ABCD"
"117",1.6513484019982,"ABCD"
"118",0.985500492404718,"ABCD"
"119",1.0776552404947,"ABCD"
"120",1.14725357722004,"ABCD"
"121",1.53893844229626,"ABCD"
"122",1.28657691340807,"ABCD"
"123",2.03603907426794,"ABCD"
